===2018-04-13 11:52:07.483 WARN  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext Line:550 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'webSecurityConfig' defined in file [/Users/fanfuqiang/work/ServerProjects/farm/target/classes/com/fans/farm/configure/WebSecurityConfig.class]: Unsatisfied dependency expressed through constructor parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'org.springframework.security.core.userdetails.UserDetailsService' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
===2018-04-13 11:52:07.493 WARN  org.springframework.boot.SpringApplication Line:91  - Error handling failed (Error creating bean with name 'delegatingApplicationListener' defined in class path resource [org/springframework/security/config/annotation/web/configuration/WebSecurityConfiguration.class]: BeanPostProcessor before instantiation of bean failed; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration': Initialization of bean failed; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importRegistry' available)
===2018-04-13 11:53:34.436 WARN  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext Line:550 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'com.github.pagehelper.autoconfigure.PageHelperAutoConfiguration': Invocation of init method failed; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'pageHelperProperties': Could not bind properties to Properties (prefix=pagehelper, ignoreInvalidFields=false, ignoreUnknownFields=true, ignoreNestedProperties=false); nested exception is java.lang.IllegalStateException: Invalid target for Validator [org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor$ValidatedLocalValidatorFactoryBean@7c0f28f8]: org.springframework.boot.bind.RelaxedDataBinder$MapHolder@2abc8034
===2018-04-13 15:28:34.644 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m46s213ms).
===2018-04-13 16:44:35.830 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m30s510ms).
===2018-04-13 18:10:55.723 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m49s209ms).
===2018-04-13 18:12:22.152 WARN  com.zaxxer.hikari.pool.HikariPool Line:748 - HikariPool-1 - Retrograde clock change detected (housekeeper delta=26s409ms), soft-evicting connections from pool.
===2018-04-13 18:49:49.911 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=30m27s581ms).
===2018-04-13 19:05:00.836 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m10s804ms).
===2018-04-13 19:25:47.490 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=20m46s654ms).
===2018-04-13 19:40:14.129 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=13m56s625ms).
===2018-04-13 20:04:34.788 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=23m50s645ms).
===2018-04-13 20:12:46.436 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m41s635ms).
===2018-04-13 20:40:50.075 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=28m3s639ms).
===2018-04-13 20:48:32.731 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m12s635ms).
===2018-04-13 21:14:12.382 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=25m9s638ms).
===2018-04-13 21:20:53.031 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6m10s635ms).
===2018-04-13 21:47:50.671 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=26m57s640ms).
===2018-04-13 21:52:44.760 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m54s68ms).
===2018-04-13 22:21:41.753 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=28m56s993ms).
===2018-04-13 22:33:19.200 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11m7s436ms).
===2018-04-13 22:42:22.842 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=8m33s628ms).
===2018-04-13 23:09:47.495 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=26m54s646ms).
===2018-04-13 23:15:03.571 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5m16s76ms).
===2018-04-13 23:44:19.214 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=28m45s641ms).
===2018-04-13 23:50:57.875 WARN  com.zaxxer.hikari.pool.HikariPool Line:756 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6m8s656ms).
